Unique ID,Typ,Title,CE Start Date,CE End Date,AH Start Date,AH End Date,Date photograph taken,Date Qualif.,Medium,Technique,Measurements,Artist,Orig. Location,Collection,Inventory #,Folder,Photographer,Copyright for Photo,Image Quality,Image Rights,Published in,Notes
XX_UNKNOWN_IAA694727,Image,Aleppo. Citadel. View from SE.,,,,,,,,,,,None,,IAA694727,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/8e0b586b-2358-4a46-b220-0098e146f387/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/8e0b586b-2358-4a46-b220-0098e146f387/iiif,,View from southeast.
XX_MJAAKDCM_IAA143933,Image,Aleppo. Citadel. Medallion.,,,,,,,,,,,None,"Marilyn Jenkins-Madina Archive, Aga Khan Documentation Center at MIT",IAA143933,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/cc0f7804-4c3c-4cc8-ad20-3dba5e51dcd2/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/cc0f7804-4c3c-4cc8-ad20-3dba5e51dcd2/iiif,,View of medallion on citadel walls.
XX_MJAAKDCM_IAA143932,Image,Aleppo. Citadel. Medallion.,,,,,,,,,,,None,"Marilyn Jenkins-Madina Archive, Aga Khan Documentation Center at MIT",IAA143932,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/90321ffa-6b32-4f34-8408-ca2c73410a0f/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/90321ffa-6b32-4f34-8408-ca2c73410a0f/iiif,,View of star-shaped medallion on walls of citadel.
XX_MJAAKDCM_IAA143931,Image,Aleppo. Citadel. Walls. Medallion.,,,,,,,,,,,None,"Marilyn Jenkins-Madina Archive, Aga Khan Documentation Center at MIT",IAA143931,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/b80b00c8-6c08-47b9-8886-c839e831f910/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/b80b00c8-6c08-47b9-8886-c839e831f910/iiif,,View of medallion with geometric motif on walls.
XX_MJAAKDCM_IAA143930,Image,Aleppo. Citadel. Entrance Block. Serpent Gate.,,,,,,,,,,,None,"Marilyn Jenkins-Madina Archive, Aga Khan Documentation Center at MIT",IAA143930,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/2a80dc95-1d08-4642-aeec-ca81dfe902c8/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/2a80dc95-1d08-4642-aeec-ca81dfe902c8/iiif,,"Upper tower, detail view of intertwined dragons on serpent gate."
