Unique ID,Typ,Title,CE Start Date,CE End Date,AH Start Date,AH End Date,Date photograph taken,Date Qualif.,Medium,Technique,Measurements,Artist,Orig. Location,Collection,Inventory #,Folder,Photographer,Copyright for Photo,Image Quality,Image Rights,Published in,Notes
XX_AKAFA_DPC0076,Publication,The Antalya Citadel: A Project for a Leisure and Commercial Centre,,,,,,,,,,,,Aga Khan Award for Architecture,DPC0076,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/9d451d68-010c-4efe-be8e-35986a4b9ac5/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/9d451d68-010c-4efe-be8e-35986a4b9ac5/iiif,,
XX_UNKNOWN_DPC3648,Publication,"A Newly Read Inscription on the Walls of Antalya, Turkey",,,,,,,,,,,,,DPC3648,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/0dd50f7f-73dd-4a93-876f-f341c0b38d6e/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/0dd50f7f-73dd-4a93-876f-f341c0b38d6e/iiif,,
XX_AKAFA_IMG06621,Image,IMG06621,,,,,,,,,,,Türkiye,Aga Khan Award for Architecture,IMG06621,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/5ba45ce1-2657-4708-97c1-8e2cdab27913/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/5ba45ce1-2657-4708-97c1-8e2cdab27913/iiif,,"Presentation panel with floor plans, elevations, sections and photographs of the Golf Club"
XX_AKAFA_IMG06620,Image,IMG06620,,,,,,,,,,,Türkiye,Aga Khan Award for Architecture,IMG06620,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/999daec8-0870-4eab-b949-3858227b5421/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/999daec8-0870-4eab-b949-3858227b5421/iiif,,Presentation panel with site plans and general views
XX_UNKNOWN_IAA705758,Image,IAA705758,,,,,,,,,,,None,,IAA705758,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/26b5eba9-09f4-426b-81eb-400ba10a47e4/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/26b5eba9-09f4-426b-81eb-400ba10a47e4/iiif,,
XX_AKAFA_IAA12445,Image,IAA12445,,,,,,,,,,,Türkiye,Aga Khan Award for Architecture,IAA12445,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/efb6bca6-fda5-4036-bfe1-28eb38fca8d2/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/efb6bca6-fda5-4036-bfe1-28eb38fca8d2/iiif,,Exterior view between buildings showing stone walls
XX_AKAFA_IAA12436,Image,IAA12436,,,,,,,,,,,Türkiye,Aga Khan Award for Architecture,IAA12436,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/17a34777-3463-4288-8c57-d57427c7460e/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/17a34777-3463-4288-8c57-d57427c7460e/iiif,,Exterior view showing discreet balconies
XX_AKAFA_IAA12435,Image,IAA12435,,,,,,,,,,,Türkiye,Aga Khan Award for Architecture,IAA12435,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/f048ce66-b407-4d27-b092-999ca1605694/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/f048ce66-b407-4d27-b092-999ca1605694/iiif,,Exterior view showing brick and mortar construction
XX_AKAFA_IAA12166,Image,IAA12166,,,,,,,,,,,Türkiye,Aga Khan Award for Architecture,IAA12166,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/aae019f3-df86-400b-a9a7-c22552a11886/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/aae019f3-df86-400b-a9a7-c22552a11886/iiif,,Model
XX_AKAFA_IAA12165,Image,IAA12165,,,,,,,,,,,Türkiye,Aga Khan Award for Architecture,IAA12165,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/9d550024-a449-47af-9bbe-45f5270b77dc/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/9d550024-a449-47af-9bbe-45f5270b77dc/iiif,,Site plan
