Unique ID,Typ,Title,CE Start Date,CE End Date,AH Start Date,AH End Date,Date photograph taken,Date Qualif.,Medium,Technique,Measurements,Artist,Orig. Location,Collection,Inventory #,Folder,Photographer,Copyright for Photo,Image Quality,Image Rights,Published in,Notes
XX_AKAFA_IMG34045,Image,Earthquake Resistant Schools,,,,,,,,,,,Pakistan,Aga Khan Award for Architecture,IMG34045,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/3334d1ab-2e92-48e3-bc42-f47943f8b69c/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/3334d1ab-2e92-48e3-bc42-f47943f8b69c/iiif,," TCF Sager teacher centre, first floor drawing"
XX_AKAFA_IMG34044,Image,Earthquake Resistant Schools,,,,,,,,,,,Pakistan,Aga Khan Award for Architecture,IMG34044,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/dd14b665-3c65-4bb0-a1ad-9de14919a888/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/dd14b665-3c65-4bb0-a1ad-9de14919a888/iiif,," TCF Sager teacher centre, ground floor drawing"
XX_AKAFA_IMG34043,Image,Earthquake Resistant Schools,,,,,,,,,,,Pakistan,Aga Khan Award for Architecture,IMG34043,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/11c96e2b-95b5-4996-b59c-884304a80baf/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/11c96e2b-95b5-4996-b59c-884304a80baf/iiif,, TCF Sager teacher centre providing entry-level training to about 350 teachers annually and developmental training to over 1600 teachers during summer vacations
XX_AKAFA_IMG34042,Image,Earthquake Resistant Schools,,,,,,,,,,,Pakistan,Aga Khan Award for Architecture,IMG34042,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/67a1608a-ceda-4abb-8551-7fddbfcfdc0d/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/67a1608a-ceda-4abb-8551-7fddbfcfdc0d/iiif,,"The Citizen's Foundation' school, base detail of pipe support drawing"
XX_AKAFA_IMG34041,Image,Earthquake Resistant Schools,,,,,,,,,,,Pakistan,Aga Khan Award for Architecture,IMG34041,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/e3586ea8-494d-4aca-915c-fdc4dd49a4e6/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/e3586ea8-494d-4aca-915c-fdc4dd49a4e6/iiif,,"The Citizen's Foundation' school, section drawing"
