Unique ID,Typ,Title,CE Start Date,CE End Date,AH Start Date,AH End Date,Date photograph taken,Date Qualif.,Medium,Technique,Measurements,Artist,Orig. Location,Collection,Inventory #,Folder,Photographer,Copyright for Photo,Image Quality,Image Rights,Published in,Notes
XX_WC_77770272,Image,Antakya Archaeological Museum Buffet Supper Mosaic Food in border in 2008 08.jpg,,,,,,,,,,"<a href=""//commons.wikimedia.org/wiki/User:Dosseman"" title=""User:Dosseman"">Dosseman</a>",,Wikimedia Commons,77770272,,"<a href=""//commons.wikimedia.org/wiki/User:Dosseman"" title=""User:Dosseman"">Dosseman</a>",,https://upload.wikimedia.org/wikipedia/commons/b/b6/Antakya_Archaeological_Museum_Buffet_Supper_Mosaic_Food_in_border_in_2008_08.jpg,,,"The Buffet mosaic, Env. 937, From Daphne, Harbiye, 3rd century AD. The mosaic consists of two parts, a half circle surmounted by a rectangle. Within the half circle there is a medallion in which Ganymede is shown watering an eagle, in a border round the edge there are various kinds of food and round loaves of bread. Birds of various kinds fill the rectangle. 
The food."
XX_WC_87822219,Image,Antakya Archaeological Museum Buffet Supper Mosaic Food in border in 2019 18.jpg,,,,,,,,,,"<a href=""//commons.wikimedia.org/wiki/User:Dosseman"" title=""User:Dosseman"">Dosseman</a>",,Wikimedia Commons,87822219,,"<a href=""//commons.wikimedia.org/wiki/User:Dosseman"" title=""User:Dosseman"">Dosseman</a>",,https://upload.wikimedia.org/wikipedia/commons/1/1d/Antakya_Archaeological_Museum_Buffet_Supper_Mosaic_Food_in_border_in_2019_18.jpg,,,"inv. 937. from third century AD Harbiye. In the bottom half, a half circle, Ganymede gives water to an eagle. Surrounding them are the dishes that gave the mosaic its name. In the top half birds of many varieties."
XX_WC_164707125,Image,Antakya Archaeological Museum Buffet Supper Mosaic Ganymede in 2008 01.jpg,,,,,,,,,,"<a href=""//commons.wikimedia.org/wiki/User:Dosseman"" title=""User:Dosseman"">Dosseman</a>",,Wikimedia Commons,164707125,,"<a href=""//commons.wikimedia.org/wiki/User:Dosseman"" title=""User:Dosseman"">Dosseman</a>",,https://upload.wikimedia.org/wikipedia/commons/3/39/Antakya_Archaeological_Museum_Buffet_Supper_Mosaic_Ganymede_in_2008_01.jpg,,,"In the bottom half, a half circle, Ganymede gives water to an eagle. Would that be Zeus who brought him?"
XX_WC_87680393,Image,Antakya Archaeological Museum Censer sept 2019 5831.jpg,,,,,,,,,,"<a href=""//commons.wikimedia.org/wiki/User:Dosseman"" title=""User:Dosseman"">Dosseman</a>",,Wikimedia Commons,87680393,,"<a href=""//commons.wikimedia.org/wiki/User:Dosseman"" title=""User:Dosseman"">Dosseman</a>",,https://upload.wikimedia.org/wikipedia/commons/7/7c/Antakya_Archaeological_Museum_Censer_sept_2019_5831.jpg,,,"On one occassion I read the notice indicating this was ""Hittite"", at another it was a censer. So: Hittite censer, no further information."
XX_WC_87617458,Image,Antakya Archaeological Museum Censer sept 2019 5833.jpg,,,,,,,,,,"<a href=""//commons.wikimedia.org/wiki/User:Dosseman"" title=""User:Dosseman"">Dosseman</a>",,Wikimedia Commons,87617458,,"<a href=""//commons.wikimedia.org/wiki/User:Dosseman"" title=""User:Dosseman"">Dosseman</a>",,https://upload.wikimedia.org/wikipedia/commons/c/c0/Antakya_Archaeological_Museum_Censer_sept_2019_5833.jpg,,,"On one occassion I read the notice indicating this was ""Hittite"", at another it was a censer. So: Hittite censer, no further information."
XX_WC_87823482,Image,Antakya Archaeological Museum Ceremony for Isis in 2019 02.jpg,,,,,,,,,,"<a href=""//commons.wikimedia.org/wiki/User:Dosseman"" title=""User:Dosseman"">Dosseman</a>",,Wikimedia Commons,87823482,,"<a href=""//commons.wikimedia.org/wiki/User:Dosseman"" title=""User:Dosseman"">Dosseman</a>",,https://upload.wikimedia.org/wikipedia/commons/d/d4/Antakya_Archaeological_Museum_Ceremony_for_Isis_in_2019_02.jpg,,,"This greatly damaged mosaic is from the 2nd century, from the Yakto complex in Daphne. Of four women only one is somewhat intact. To her left a woman wears a brown palladium, a dress worn in rituals for the Egyptian goddess Isis, highly referred in the Roman Period. Hence the name of the mosaic."
XX_WC_87653630,Image,Antakya Archaeological Museum Cypriot zoomorphic vessel sept 2019 5766.jpg,,,,,,,,,,"<a href=""//commons.wikimedia.org/wiki/User:Dosseman"" title=""User:Dosseman"">Dosseman</a>",,Wikimedia Commons,87653630,,"<a href=""//commons.wikimedia.org/wiki/User:Dosseman"" title=""User:Dosseman"">Dosseman</a>",,https://upload.wikimedia.org/wikipedia/commons/d/d7/Antakya_Archaeological_Museum_Cypriot_zoomorphic_vessel_sept_2019_5766.jpg,,,"Eartheware, Late Bronze Age"
XX_WC_77770275,Image,Antakya Archaeological Museum Detail of some mosaic 7477 edit.jpg,,,,,,,,,,"<a href=""//commons.wikimedia.org/wiki/User:Dosseman"" title=""User:Dosseman"">Dosseman</a>",,Wikimedia Commons,77770275,,"<a href=""//commons.wikimedia.org/wiki/User:Dosseman"" title=""User:Dosseman"">Dosseman</a>",,https://upload.wikimedia.org/wikipedia/commons/8/86/Antakya_Archaeological_Museum_Detail_of_some_mosaic_7477_edit.jpg,,,"Detail of some mosaic, I forgot which."
XX_WC_77771546,Image,Antakya Archaeological Museum Dionysos and Ariadne mosaic All in 2008 02.jpg,,,,,,,,,,"<a href=""//commons.wikimedia.org/wiki/User:Dosseman"" title=""User:Dosseman"">Dosseman</a>",,Wikimedia Commons,77771546,,"<a href=""//commons.wikimedia.org/wiki/User:Dosseman"" title=""User:Dosseman"">Dosseman</a>",,https://upload.wikimedia.org/wikipedia/commons/c/cc/Antakya_Archaeological_Museum_Dionysos_and_Ariadne_mosaic_All_in_2008_02.jpg,,,"From Samandağı, second to third century AD, inv. 945. Dionysus and Ariadne, Env. 945/c. From Samandaĝ, 2nd-3rd century AD. In this mosaic the artis has used the façade of a building both as a background and as a frame to divide his picture into three parts. In the central panel Ariadne is sleeping in a sitting position with Dionysus (mainly erased) standing behind and to the left of her. Between them but still further in the background Eros can be seen . In the right panel a satyr, and in the left a maenad. Above the garlanded architrave is a crater (a large vessel) and arranged on either side of the crater, gryphons, bowls and eagles. 
From Enc. Britt.: (Ariadne:) in Greek mythology, daughter of Pasiphae and the Cretan king Minos. She fell in love with the Athenian hero Theseus and, with a thread or glittering jewels, helped him escape the Labyrinth after he slew the Minotaur, a beast half bull and half man that Minos kept in the Labyrinth. Here the legends diverge: she was abandoned by Theseus and hanged herself; Theseus carried her to Naxos and left her there to die or to marry the god Dionysus; or she died in childbirth on Cyprus.This must be the Dionysus variation:"
XX_WC_77771545,Image,"Antakya Archaeological Museum Dionysos and Ariadne mosaic Persons Maenad, Dionysus & Ariadne and Silenus in 2004 04.jpg",,,,,,,,,,"<a href=""//commons.wikimedia.org/wiki/User:Dosseman"" title=""User:Dosseman"">Dosseman</a>",,Wikimedia Commons,77771545,,"<a href=""//commons.wikimedia.org/wiki/User:Dosseman"" title=""User:Dosseman"">Dosseman</a>",,https://upload.wikimedia.org/wikipedia/commons/1/13/Antakya_Archaeological_Museum_Dionysos_and_Ariadne_mosaic_Persons_Maenad%2C_Dionysus_%26_Ariadne_and_Silenus_in_2004_04.jpg,,,"From Samandağı, second to third century AD, inv. 945. Dionysus and Ariadne, Env. 945/c. From Samandaĝ, 2nd-3rd century AD. In this mosaic the artis has used the façade of a building both as a background and as a frame to divide his picture into three parts. In the central panel Ariadne is sleeping in a sitting position with Dionysus (mainly erased) standing behind and to the left of her. Between them but still further in the background Eros can be seen . In the right panel a satyr, and in the left a maenad. Above the garlanded architrave is a crater (a large vessel) and arranged on either side of the crater, gryphons, bowls and eagles. 
From Enc. Britt.: (Ariadne:) in Greek mythology, daughter of Pasiphae and the Cretan king Minos. She fell in love with the Athenian hero Theseus and, with a thread or glittering jewels, helped him escape the Labyrinth after he slew the Minotaur, a beast half bull and half man that Minos kept in the Labyrinth. Here the legends diverge: she was abandoned by Theseus and hanged herself; Theseus carried her to Naxos and left her there to die or to marry the god Dionysus; or she died in childbirth on Cyprus.This must be the Dionysus variation:"
